node,graph_nr,metric_name,_metric_value,save_name
8,0.0,betweenness_centrality,0.01905377384887066,sequential_llama3.1-70b
44,0.0,betweenness_centrality,0.016154058172084672,sequential_llama3.1-70b
28,0.0,betweenness_centrality,0.010366084826153346,sequential_llama3.1-70b
69,0.0,betweenness_centrality,0.00814746681595257,sequential_llama3.1-70b
15,0.0,betweenness_centrality,0.35172057942833573,sequential_llama3.1-70b
51,0.0,betweenness_centrality,0.005623291851698904,sequential_llama3.1-70b
46,0.0,betweenness_centrality,0.018898631322928124,sequential_llama3.1-70b
84,0.0,betweenness_centrality,0.0012009431730625583,sequential_llama3.1-70b
34,0.0,betweenness_centrality,0.0008679833623699944,sequential_llama3.1-70b
42,0.0,betweenness_centrality,0.00037431912474877665,sequential_llama3.1-70b
60,0.0,betweenness_centrality,0.00625363040684098,sequential_llama3.1-70b
94,0.0,betweenness_centrality,0.009618960043049902,sequential_llama3.1-70b
22,0.0,betweenness_centrality,0.01593593633055353,sequential_llama3.1-70b
98,0.0,betweenness_centrality,0.014246117057320241,sequential_llama3.1-70b
70,0.0,betweenness_centrality,0.012204595814439455,sequential_llama3.1-70b
66,0.0,betweenness_centrality,0.0008021603391049713,sequential_llama3.1-70b
95,0.0,betweenness_centrality,0.018394387396012953,sequential_llama3.1-70b
86,0.0,betweenness_centrality,0.015023528478466542,sequential_llama3.1-70b
38,0.0,betweenness_centrality,0.0004543033622830462,sequential_llama3.1-70b
88,0.0,betweenness_centrality,0.006894284165143648,sequential_llama3.1-70b
82,0.0,betweenness_centrality,0.009379786756687953,sequential_llama3.1-70b
7,0.0,betweenness_centrality,0.0010247596036934746,sequential_llama3.1-70b
29,0.0,betweenness_centrality,0.006312623581388323,sequential_llama3.1-70b
37,0.0,betweenness_centrality,0.000479612353142406,sequential_llama3.1-70b
83,0.0,betweenness_centrality,0.0009260328868769,sequential_llama3.1-70b
2,0.0,betweenness_centrality,0.010566480223046558,sequential_llama3.1-70b
33,0.0,betweenness_centrality,0.353628369376548,sequential_llama3.1-70b
76,0.0,betweenness_centrality,0.007519002795614573,sequential_llama3.1-70b
79,0.0,betweenness_centrality,0.00022364886310464536,sequential_llama3.1-70b
30,0.0,betweenness_centrality,0.00495003807409363,sequential_llama3.1-70b
72,0.0,betweenness_centrality,0.008839867964938013,sequential_llama3.1-70b
25,0.0,betweenness_centrality,0.014675505250787972,sequential_llama3.1-70b
68,0.0,betweenness_centrality,0.005789347428085825,sequential_llama3.1-70b
16,0.0,betweenness_centrality,0.016362100831476364,sequential_llama3.1-70b
56,0.0,betweenness_centrality,0.14566132143709273,sequential_llama3.1-70b
48,0.0,betweenness_centrality,0.005315576622122106,sequential_llama3.1-70b
74,0.0,betweenness_centrality,0.001991311785057942,sequential_llama3.1-70b
64,0.0,betweenness_centrality,0.006945816704352807,sequential_llama3.1-70b
40,0.0,betweenness_centrality,0.004944991494764135,sequential_llama3.1-70b
9,0.0,betweenness_centrality,0.01068460693345338,sequential_llama3.1-70b
6,0.0,betweenness_centrality,0.0011882092485039832,sequential_llama3.1-70b
39,0.0,betweenness_centrality,0.0018556206673376492,sequential_llama3.1-70b
54,0.0,betweenness_centrality,0.006384855844898931,sequential_llama3.1-70b
47,0.0,betweenness_centrality,0.008523253416245047,sequential_llama3.1-70b
58,0.0,betweenness_centrality,0.0027717782431630838,sequential_llama3.1-70b
67,0.0,betweenness_centrality,0.0009934948509887221,sequential_llama3.1-70b
1,0.0,betweenness_centrality,0.02207526511827719,sequential_llama3.1-70b
14,0.0,betweenness_centrality,0.001242186613711991,sequential_llama3.1-70b
63,0.0,betweenness_centrality,0.005484583525294757,sequential_llama3.1-70b
91,0.0,betweenness_centrality,0.008458802408181091,sequential_llama3.1-70b
43,0.0,betweenness_centrality,0.0006002000537188815,sequential_llama3.1-70b
41,0.0,betweenness_centrality,0.012436811157332615,sequential_llama3.1-70b
71,0.0,betweenness_centrality,0.0072198228041406185,sequential_llama3.1-70b
23,0.0,betweenness_centrality,0.002152625259325411,sequential_llama3.1-70b
62,0.0,betweenness_centrality,0.0012901214004175884,sequential_llama3.1-70b
55,0.0,betweenness_centrality,0.0019073933010786233,sequential_llama3.1-70b
21,0.0,betweenness_centrality,0.005449444477159872,sequential_llama3.1-70b
12,0.0,betweenness_centrality,0.006190716605805672,sequential_llama3.1-70b
50,0.0,betweenness_centrality,0.0027755471028564536,sequential_llama3.1-70b
19,0.0,betweenness_centrality,0.004616900241748598,sequential_llama3.1-70b
57,0.0,betweenness_centrality,0.008499566641723733,sequential_llama3.1-70b
35,0.0,betweenness_centrality,0.0019678542605721322,sequential_llama3.1-70b
89,0.0,betweenness_centrality,0.0007725564340315503,sequential_llama3.1-70b
17,0.0,betweenness_centrality,0.0009880682868261836,sequential_llama3.1-70b
65,0.0,betweenness_centrality,0.012072954908278146,sequential_llama3.1-70b
93,0.0,betweenness_centrality,6.871435442864013e-05,sequential_llama3.1-70b
73,0.0,betweenness_centrality,0.14900492585448846,sequential_llama3.1-70b
32,0.0,betweenness_centrality,0.0010794685309484355,sequential_llama3.1-70b
10,0.0,betweenness_centrality,0.002471386518318476,sequential_llama3.1-70b
85,0.0,betweenness_centrality,0.0,sequential_llama3.1-70b
3,0.0,betweenness_centrality,0.0,sequential_llama3.1-70b
59,0.0,betweenness_centrality,0.001288787420226549,sequential_llama3.1-70b
0,0.0,betweenness_centrality,0.00046111108606813965,sequential_llama3.1-70b
24,0.0,betweenness_centrality,0.0009395612042249273,sequential_llama3.1-70b
45,0.0,betweenness_centrality,0.0005013014989254222,sequential_llama3.1-70b
36,0.0,betweenness_centrality,0.014164174419568042,sequential_llama3.1-70b
99,0.0,betweenness_centrality,0.004602167657007629,sequential_llama3.1-70b
53,0.0,betweenness_centrality,0.009949723053043848,sequential_llama3.1-70b
92,0.0,betweenness_centrality,0.009490668943712536,sequential_llama3.1-70b
52,0.0,betweenness_centrality,0.002502941650899427,sequential_llama3.1-70b
97,0.0,betweenness_centrality,0.0,sequential_llama3.1-70b
87,0.0,betweenness_centrality,0.0002876274068545443,sequential_llama3.1-70b
18,0.0,betweenness_centrality,0.00012793346237395794,sequential_llama3.1-70b
80,0.0,betweenness_centrality,5.188739124418659e-05,sequential_llama3.1-70b
77,0.0,betweenness_centrality,0.0011705471081350889,sequential_llama3.1-70b
26,0.0,closeness_centrality,0.43805309734513276,sequential_llama3.1-70b
49,0.0,closeness_centrality,0.36666666666666664,sequential_llama3.1-70b
78,0.0,closeness_centrality,0.3694029850746269,sequential_llama3.1-70b
31,0.0,closeness_centrality,0.4439461883408072,sequential_llama3.1-70b
20,0.0,closeness_centrality,0.3639705882352941,sequential_llama3.1-70b
4,0.0,closeness_centrality,0.358695652173913,sequential_llama3.1-70b
5,0.0,closeness_centrality,0.3680297397769517,sequential_llama3.1-70b
75,0.0,closeness_centrality,0.35106382978723405,sequential_llama3.1-70b
81,0.0,closeness_centrality,0.43805309734513276,sequential_llama3.1-70b
13,0.0,closeness_centrality,0.43043478260869567,sequential_llama3.1-70b
11,0.0,closeness_centrality,0.43805309734513276,sequential_llama3.1-70b
96,0.0,closeness_centrality,0.4479638009049774,sequential_llama3.1-70b
90,0.0,closeness_centrality,0.39759036144578314,sequential_llama3.1-70b
61,0.0,closeness_centrality,0.4479638009049774,sequential_llama3.1-70b
27,0.0,closeness_centrality,0.339041095890411,sequential_llama3.1-70b
8,0.0,closeness_centrality,0.45,sequential_llama3.1-70b
44,0.0,closeness_centrality,0.4479638009049774,sequential_llama3.1-70b
28,0.0,closeness_centrality,0.39759036144578314,sequential_llama3.1-70b
69,0.0,closeness_centrality,0.43231441048034935,sequential_llama3.1-70b
15,0.0,closeness_centrality,0.5129533678756477,sequential_llama3.1-70b
51,0.0,closeness_centrality,0.3852140077821012,sequential_llama3.1-70b
46,0.0,closeness_centrality,0.43043478260869567,sequential_llama3.1-70b
84,0.0,closeness_centrality,0.35231316725978645,sequential_llama3.1-70b
34,0.0,closeness_centrality,0.35106382978723405,sequential_llama3.1-70b
42,0.0,closeness_centrality,0.35231316725978645,sequential_llama3.1-70b
60,0.0,closeness_centrality,0.3852140077821012,sequential_llama3.1-70b
94,0.0,closeness_centrality,0.38671875,sequential_llama3.1-70b
22,0.0,closeness_centrality,0.44594594594594594,sequential_llama3.1-70b
98,0.0,closeness_centrality,0.396,sequential_llama3.1-70b
70,0.0,closeness_centrality,0.4439461883408072,sequential_llama3.1-70b
66,0.0,closeness_centrality,0.3498233215547703,sequential_llama3.1-70b
95,0.0,closeness_centrality,0.4541284403669725,sequential_llama3.1-70b
86,0.0,closeness_centrality,0.4419642857142857,sequential_llama3.1-70b
38,0.0,closeness_centrality,0.3548387096774194,sequential_llama3.1-70b
88,0.0,closeness_centrality,0.37786259541984735,sequential_llama3.1-70b
82,0.0,closeness_centrality,0.391304347826087,sequential_llama3.1-70b
7,0.0,closeness_centrality,0.3574007220216607,sequential_llama3.1-70b
29,0.0,closeness_centrality,0.4230769230769231,sequential_llama3.1-70b
37,0.0,closeness_centrality,0.34256055363321797,sequential_llama3.1-70b
83,0.0,closeness_centrality,0.339041095890411,sequential_llama3.1-70b
2,0.0,closeness_centrality,0.4230769230769231,sequential_llama3.1-70b
33,0.0,closeness_centrality,0.5076923076923077,sequential_llama3.1-70b
76,0.0,closeness_centrality,0.41422594142259417,sequential_llama3.1-70b
79,0.0,closeness_centrality,0.32142857142857145,sequential_llama3.1-70b
30,0.0,closeness_centrality,0.37218045112781956,sequential_llama3.1-70b
72,0.0,closeness_centrality,0.41422594142259417,sequential_llama3.1-70b
25,0.0,closeness_centrality,0.4024390243902439,sequential_llama3.1-70b
68,0.0,closeness_centrality,0.3535714285714286,sequential_llama3.1-70b
16,0.0,closeness_centrality,0.4342105263157895,sequential_llama3.1-70b
56,0.0,closeness_centrality,0.45,sequential_llama3.1-70b
48,0.0,closeness_centrality,0.4074074074074074,sequential_llama3.1-70b
74,0.0,closeness_centrality,0.4008097165991903,sequential_llama3.1-70b
64,0.0,closeness_centrality,0.42127659574468085,sequential_llama3.1-70b
40,0.0,closeness_centrality,0.41422594142259417,sequential_llama3.1-70b
9,0.0,closeness_centrality,0.43043478260869567,sequential_llama3.1-70b
6,0.0,closeness_centrality,0.38823529411764707,sequential_llama3.1-70b
39,0.0,closeness_centrality,0.39759036144578314,sequential_llama3.1-70b
54,0.0,closeness_centrality,0.4125,sequential_llama3.1-70b
47,0.0,closeness_centrality,0.43043478260869567,sequential_llama3.1-70b
58,0.0,closeness_centrality,0.37358490566037733,sequential_llama3.1-70b
67,0.0,closeness_centrality,0.336734693877551,sequential_llama3.1-70b
1,0.0,closeness_centrality,0.44594594594594594,sequential_llama3.1-70b
14,0.0,closeness_centrality,0.39285714285714285,sequential_llama3.1-70b
63,0.0,closeness_centrality,0.4074074074074074,sequential_llama3.1-70b
91,0.0,closeness_centrality,0.41422594142259417,sequential_llama3.1-70b
43,0.0,closeness_centrality,0.38671875,sequential_llama3.1-70b
41,0.0,closeness_centrality,0.42857142857142855,sequential_llama3.1-70b
71,0.0,closeness_centrality,0.4090909090909091,sequential_llama3.1-70b
23,0.0,closeness_centrality,0.3944223107569721,sequential_llama3.1-70b
62,0.0,closeness_centrality,0.39919354838709675,sequential_llama3.1-70b
55,0.0,closeness_centrality,0.38223938223938225,sequential_llama3.1-70b
21,0.0,closeness_centrality,0.40408163265306124,sequential_llama3.1-70b
12,0.0,closeness_centrality,0.3944223107569721,sequential_llama3.1-70b
50,0.0,closeness_centrality,0.38223938223938225,sequential_llama3.1-70b
19,0.0,closeness_centrality,0.391304347826087,sequential_llama3.1-70b
57,0.0,closeness_centrality,0.4057377049180328,sequential_llama3.1-70b
35,0.0,closeness_centrality,0.38076923076923075,sequential_llama3.1-70b
89,0.0,closeness_centrality,0.32459016393442625,sequential_llama3.1-70b
17,0.0,closeness_centrality,0.376425855513308,sequential_llama3.1-70b
65,0.0,closeness_centrality,0.41596638655462187,sequential_llama3.1-70b
93,0.0,closeness_centrality,0.34494773519163763,sequential_llama3.1-70b
73,0.0,closeness_centrality,0.4541284403669725,sequential_llama3.1-70b
32,0.0,closeness_centrality,0.3680297397769517,sequential_llama3.1-70b
10,0.0,closeness_centrality,0.3707865168539326,sequential_llama3.1-70b
85,0.0,closeness_centrality,0.34256055363321797,sequential_llama3.1-70b
3,0.0,closeness_centrality,0.358695652173913,sequential_llama3.1-70b
59,0.0,closeness_centrality,0.39285714285714285,sequential_llama3.1-70b
0,0.0,closeness_centrality,0.34375,sequential_llama3.1-70b
24,0.0,closeness_centrality,0.38823529411764707,sequential_llama3.1-70b
45,0.0,closeness_centrality,0.3333333333333333,sequential_llama3.1-70b
36,0.0,closeness_centrality,0.4194915254237288,sequential_llama3.1-70b
99,0.0,closeness_centrality,0.39285714285714285,sequential_llama3.1-70b
53,0.0,closeness_centrality,0.4107883817427386,sequential_llama3.1-70b
92,0.0,closeness_centrality,0.4125,sequential_llama3.1-70b
52,0.0,closeness_centrality,0.3639705882352941,sequential_llama3.1-70b
97,0.0,closeness_centrality,0.30745341614906835,sequential_llama3.1-70b
87,0.0,closeness_centrality,0.32673267326732675,sequential_llama3.1-70b
18,0.0,closeness_centrality,0.32459016393442625,sequential_llama3.1-70b
80,0.0,closeness_centrality,0.33221476510067116,sequential_llama3.1-70b
77,0.0,closeness_centrality,0.34256055363321797,sequential_llama3.1-70b
80,1.0,degree_centrality,0.25252525252525254,sequential_llama3.1-70b
81,1.0,degree_centrality,0.4040404040404041,sequential_llama3.1-70b
28,1.0,degree_centrality,0.24242424242424243,sequential_llama3.1-70b
53,1.0,degree_centrality,0.21212121212121213,sequential_llama3.1-70b
44,1.0,degree_centrality,0.4444444444444445,sequential_llama3.1-70b
32,1.0,degree_centrality,0.27272727272727276,sequential_llama3.1-70b
86,1.0,degree_centrality,0.42424242424242425,sequential_llama3.1-70b
61,1.0,degree_centrality,0.26262626262626265,sequential_llama3.1-70b
11,1.0,degree_centrality,0.31313131313131315,sequential_llama3.1-70b
51,1.0,degree_centrality,0.33333333333333337,sequential_llama3.1-70b
92,1.0,degree_centrality,0.20202020202020204,sequential_llama3.1-70b
90,1.0,degree_centrality,0.30303030303030304,sequential_llama3.1-70b
84,1.0,degree_centrality,0.3434343434343435,sequential_llama3.1-70b
26,1.0,degree_centrality,0.27272727272727276,sequential_llama3.1-70b
5,1.0,degree_centrality,0.2828282828282829,sequential_llama3.1-70b
75,1.0,degree_centrality,0.27272727272727276,sequential_llama3.1-70b
31,1.0,degree_centrality,0.38383838383838387,sequential_llama3.1-70b
10,1.0,degree_centrality,0.23232323232323235,sequential_llama3.1-70b
60,1.0,degree_centrality,0.22222222222222224,sequential_llama3.1-70b
22,1.0,degree_centrality,0.3535353535353536,sequential_llama3.1-70b
96,1.0,degree_centrality,0.32323232323232326,sequential_llama3.1-70b
70,1.0,degree_centrality,0.14141414141414144,sequential_llama3.1-70b
78,1.0,degree_centrality,0.27272727272727276,sequential_llama3.1-70b
7,1.0,degree_centrality,0.29292929292929293,sequential_llama3.1-70b
66,1.0,degree_centrality,0.4141414141414142,sequential_llama3.1-70b
83,1.0,degree_centrality,0.36363636363636365,sequential_llama3.1-70b
94,1.0,degree_centrality,0.2828282828282829,sequential_llama3.1-70b
82,1.0,degree_centrality,0.31313131313131315,sequential_llama3.1-70b
98,1.0,degree_centrality,0.20202020202020204,sequential_llama3.1-70b
69,1.0,degree_centrality,0.23232323232323235,sequential_llama3.1-70b
34,1.0,degree_centrality,0.23232323232323235,sequential_llama3.1-70b
42,1.0,degree_centrality,0.2828282828282829,sequential_llama3.1-70b
72,1.0,degree_centrality,0.4141414141414142,sequential_llama3.1-70b
46,1.0,degree_centrality,0.24242424242424243,sequential_llama3.1-70b
29,1.0,degree_centrality,0.2828282828282829,sequential_llama3.1-70b
33,1.0,degree_centrality,0.3535353535353536,sequential_llama3.1-70b
9,1.0,degree_centrality,0.38383838383838387,sequential_llama3.1-70b
40,1.0,degree_centrality,0.33333333333333337,sequential_llama3.1-70b
39,1.0,degree_centrality,0.19191919191919193,sequential_llama3.1-70b
